Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
Temperature,Normal,Hypothermia,Maintenance,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Skin Color,Low,Unstable,Follow-up,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Chronic,Routine,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Acute,Normal,Standard,Routine care,Routine,Standard care - Follow routine protocol
Temperature,Critical,Hyperthermia,Normal,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Normal,Unstable,Regular,Regular,Follow up,Routine,Standard care - Follow routine protocol
Blood Glucose,Moderate,Stable,Baseline,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Acute,Routine,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Chronic,Normal,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Heart Rate,High,Irregular,Critical,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Acute,Maintenance,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Chronic,Regular,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Unstable,Normal,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Progressive,Baseline,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Stable,Maintenance,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Critical,Pre-hypertension,Regular,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Mental Status,High,Unstable,Immediate,Emergency,Routine care,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Unstable,Standard,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Progressive,Normal,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Stable,Maintenance,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Weak,Normal,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Unstable,Standard,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Motor Function,Moderate,Acute,Baseline,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Low,Acute,Routine,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Acute,Emergency,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Irregular,Maintenance,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Progressive,Standard,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Fever,Standard,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Acute,Urgent,Stabilize,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Normal,Acute,Normal,Regular,Standard protocol,Routine,Standard care - Follow routine protocol
AVPU Score,Low,Chronic,Monitor,Assess,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Normal,Normal,Regular,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Chronic,Regular,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Progressive,Regular,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Low,Chronic,Routine,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,Moderate,Acute,Baseline,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Chronic,Regular,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Chronic,Regular,Normal,Prevention,Routine,Standard care - Follow routine protocol
Respiratory Rate,Low,Acute,Follow-up,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Acute,Maintenance,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,Low,Acute,Watch,Check,Check again,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,High,Chronic,Critical,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Skin Color,Normal,Acute,Baseline,Standard,Routine care,Routine,Standard care - Follow routine protocol
Capillary Refill,Low,Chronic,Routine,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Acute,Observe,Regular,Follow protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Critical,Chronic,Standard,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Acute,Maintenance,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Temperature,High,Normal,Immediate,Urgent,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Hypotension,Standard,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Chronic,Maintenance,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Hypertension,Normal,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Progressive,Maintenance,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Acute,Maintenance,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Pupil Response,Moderate,Acute,Normal,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Chronic,Normal,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Stable,Normal,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Motor Function,High,Unstable,Resuscitation,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Pain Level,High,Chronic,Critical,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,Moderate,Acute,Normal,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Unstable,Baseline,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Irregular,Urgent,Stabilize,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Acute,Maintenance,Normal,Follow up,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Unstable,Regular,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Hypothermia,Standard,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Progressive,Regular,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Stable,Baseline,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Acute,Maintenance,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Low,Chronic,Monitor,Assess,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Normal,Acute,Maintenance,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Capillary Refill,Critical,Acute,Normal,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Glucose,Low,Stable,Watch,Assess,Check again,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Progressive,Normal,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
AVPU Score,Low,Acute,Routine,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Normal,Unstable,Baseline,Routine,Routine care,Routine,Standard care - Follow routine protocol
Motor Function,High,Stable,Critical,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Low,Acute,Routine,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,High,Progressive,Critical,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Unstable,Baseline,Routine,Routine care,Routine,Standard care - Follow routine protocol
Blood Glucose,Moderate,Chronic,Standard,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Low,Chronic,Follow-up,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Critical,Progressive,Normal,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Chronic,Maintenance,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Chronic,Maintenance,Routine,Prevention,Routine,Standard care - Follow routine protocol
Blood Pressure,Normal,Normal,Standard,Routine,Routine care,Routine,Standard care - Follow routine protocol
Oxygen Saturation,High,Chronic,Critical,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Pain Level,Normal,Acute,Normal,Normal,Prevention,Routine,Standard care - Follow routine protocol
Pupil Response,Critical,Unstable,Standard,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Normal,Progressive,Maintenance,Standard,Follow up,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Chronic,Normal,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
AVPU Score,Low,Unstable,Observe,Maintenance,Reassess,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Normal,Maintenance,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Skin Color,Normal,Stable,Regular,Regular,Follow up,Routine,Standard care - Follow routine protocol
Capillary Refill,Moderate,Unstable,Baseline,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Bradycardia,Follow-up,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Stable,Baseline,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Fever,Normal,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Unstable,Baseline,Standard,Routine care,Routine,Standard care - Follow routine protocol
AVPU Score,Moderate,Acute,Standard,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,Low,Acute,Follow-up,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Low,Progressive,Follow-up,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Acute,Regular,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Mental Status,Critical,Chronic,Normal,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Normal,Unstable,Maintenance,Normal,Prevention,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Normal,Unstable,Standard,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Skin Color,Moderate,Stable,Regular,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Unstable,Normal,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Unstable,Watch,Check,Monitor closely,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Chronic,Standard,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Progressive,Regular,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Progressive,Maintenance,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Acute,Maintenance,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Unstable,Maintenance,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Chronic,Follow-up,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Critical,Chronic,Baseline,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Sensory Function,High,Progressive,Critical,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Chronic,Normal,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Weak,Monitor,Evaluate,Routine care,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Chronic,Normal,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Normal,Acute,Maintenance,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Sensory Function,Normal,Stable,Regular,Regular,Follow up,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Progressive,Baseline,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Temperature,Normal,Normal,Baseline,Standard,Routine care,Routine,Standard care - Follow routine protocol
Pupil Response,Moderate,Chronic,Standard,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Low,Pre-hypertension,Routine,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Chronic,Regular,Normal,Follow up,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Critical,Unstable,Standard,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Progressive,Normal,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Bradycardia,Monitor,Observe,Document,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Chronic,Normal,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Blood Pressure,Critical,Hypotension,Normal,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Progressive,Urgent,Stabilize,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Glucose,Normal,Unstable,Maintenance,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Heart Rate,Moderate,Irregular,Normal,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Low,Progressive,Watch,Check,Monitor closely,Monitor,Continue monitoring - Watch for changes
AVPU Score,Normal,Acute,Regular,Regular,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Chronic,Baseline,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Chronic,Standard,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
Heart Rate,Normal,Normal,Regular,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,Low,Progressive,Follow-up,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Heart Rate,High,Tachycardia,Resuscitation,Regular,Follow up,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Acute,Standard,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Crisis,Regular,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Unstable,Resuscitation,Routine,Routine care,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Chronic,Regular,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Low,Unstable,Monitor,Observe,Follow protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Progressive,Baseline,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Progressive,Baseline,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
AVPU Score,Normal,Stable,Baseline,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,Low,Progressive,Watch,Observe,Document,Monitor,Continue monitoring - Watch for changes
Pain Level,Critical,Progressive,Regular,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Low,Acute,Watch,Check,Check again,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Stable,Standard,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Progressive,Immediate,Critical,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,High,Stable,Urgent,Emergency,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Normal,Progressive,Normal,Routine,Prevention,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Fever,Standard,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Heart Rate,High,Irregular,Emergency,Maintenance,Standard protocol,Immediate,Red flag - Immediate intervention required
Temperature,Normal,Hyperthermia,Regular,Standard,Prevention,Routine,Standard care - Follow routine protocol
Blood Glucose,Critical,Chronic,Baseline,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Low,Unstable,Routine,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Progressive,Normal,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,High,Progressive,Emergency,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Pupil Response,Normal,Unstable,Regular,Normal,Routine care,Routine,Standard care - Follow routine protocol
Sensory Function,Low,Stable,Monitor,Check,Standard protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Stable,Normal,Routine,Follow up,Routine,Standard care - Follow routine protocol
Temperature,High,Subnormal,Immediate,Emergency,Maintenance,Immediate,Red flag - Immediate intervention required
Heart Rate,Low,Bradycardia,Observe,Regular,Reassess,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Hypertension,Standard,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Temperature,Normal,Subnormal,Normal,Normal,Follow up,Routine,Standard care - Follow routine protocol
AVPU Score,Critical,Progressive,Baseline,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Pupil Response,Normal,Acute,Maintenance,Regular,Routine care,Routine,Standard care - Follow routine protocol
Respiratory Rate,High,Progressive,Immediate,Rescue,Prevention,Immediate,Red flag - Immediate intervention required
Pain Level,Normal,Stable,Regular,Routine,Routine care,Routine,Standard care - Follow routine protocol
AVPU Score,High,Unstable,Urgent,Urgent,Rapid Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Stable,Baseline,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Bradycardia,Routine,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Progressive,Observe,Normal,Follow protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Progressive,Normal,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Progressive,Follow-up,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Chronic,Immediate,Stabilize,Standard protocol,Immediate,Red flag - Immediate intervention required
Pain Level,High,Stable,Immediate,Rescue,Maintenance,Immediate,Red flag - Immediate intervention required
Skin Color,High,Unstable,Resuscitation,Normal,Follow up,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Unstable,Regular,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Bradycardia,Regular,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Normal,Normal,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Skin Color,Normal,Stable,Standard,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Sensory Function,Normal,Progressive,Regular,Routine,Prevention,Routine,Standard care - Follow routine protocol
Blood Pressure,Normal,Hypotension,Normal,Regular,Prevention,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Unstable,Baseline,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Blood Pressure,Critical,Normal,Maintenance,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,Moderate,Normal,Normal,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,High,Stable,Resuscitation,Routine,Prevention,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Normal,Acute,Standard,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Capillary Refill,High,Progressive,Emergency,Routine,Standard protocol,Immediate,Red flag - Immediate intervention required
Blood Pressure,Low,Normal,Observe,Routine,Reassess,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Normal,Regular,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Acute,Baseline,Regular,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Critical,Bradycardia,Standard,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Motor Function,Normal,Progressive,Baseline,Regular,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Unstable,Standard,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Sensory Function,Critical,Unstable,Baseline,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Stable,Emergency,Standard,Prevention,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Chronic,Maintenance,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Pre-hypertension,Resuscitation,Standard,Standard protocol,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Unstable,Urgent,Critical,Crash Cart,Immediate,Red flag - Immediate intervention required
Capillary Refill,Critical,Unstable,Standard,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
AVPU Score,Moderate,Progressive,Regular,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Weak,Normal,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Capillary Refill,Normal,Chronic,Regular,Normal,Follow up,Routine,Standard care - Follow routine protocol
Capillary Refill,Low,Progressive,Monitor,Assess,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Acute,Standard,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Stable,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,Moderate,Hyperthermia,Maintenance,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Tachycardia,Routine,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Low,Progressive,Routine,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Unstable,Follow-up,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Unstable,Normal,Regular,Follow up,Routine,Standard care - Follow routine protocol
Capillary Refill,Moderate,Progressive,Normal,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Unstable,Regular,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Normal,Follow-up,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Chronic,Maintenance,Standard,Follow up,Routine,Standard care - Follow routine protocol
Pain Level,Critical,Acute,Baseline,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Skin Color,High,Acute,Immediate,Rescue,Prevention,Immediate,Red flag - Immediate intervention required
Motor Function,High,Progressive,Resuscitation,Routine,Routine care,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Chronic,Follow-up,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,High,Acute,Urgent,Stabilize,Call 911,Immediate,Red flag - Immediate intervention required
Blood Glucose,High,Acute,Emergency,Maintenance,Standard protocol,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Weak,Maintenance,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Hypertension,Regular,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Progressive,Immediate,Emergency,Prevention,Immediate,Red flag - Immediate intervention required
Heart Rate,Low,Tachycardia,Watch,Evaluate,Reassess,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Chronic,Standard,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Progressive,Standard,Normal,Prevention,Routine,Standard care - Follow routine protocol
Blood Pressure,Moderate,Pre-hypertension,Baseline,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,High,Stable,Critical,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Unstable,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Motor Function,Moderate,Acute,Normal,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Acute,Follow-up,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Normal,Baseline,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Chronic,Maintenance,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,High,Unstable,Emergency,Maintenance,Routine care,Immediate,Red flag - Immediate intervention required
Pupil Response,Low,Progressive,Observe,Regular,Follow protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Unstable,Standard,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Stable,Standard,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Hypertension,Regular,Normal,Maintenance,Routine,Standard care - Follow routine protocol
AVPU Score,Low,Unstable,Monitor,Assess,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Pre-hypertension,Regular,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Critical,Chronic,Maintenance,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Acute,Observe,Regular,Reassess,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Weak,Baseline,Standard,Prevention,Routine,Standard care - Follow routine protocol
AVPU Score,High,Acute,Resuscitation,Maintenance,Maintenance,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Irregular,Resuscitation,Normal,Standard protocol,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Stable,Baseline,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Low,Progressive,Routine,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Chronic,Maintenance,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Temperature,Normal,Subnormal,Baseline,Routine,Routine care,Routine,Standard care - Follow routine protocol
Capillary Refill,Low,Stable,Follow-up,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Low,Chronic,Watch,Check,Document,Monitor,Continue monitoring - Watch for changes
Temperature,Low,Hyperthermia,Monitor,Evaluate,Follow up,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Chronic,Baseline,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Normal,Progressive,Regular,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Sensory Function,Low,Progressive,Routine,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Stable,Routine,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Stable,Normal,Routine,Routine care,Routine,Standard care - Follow routine protocol
Capillary Refill,Critical,Acute,Maintenance,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Stable,Regular,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Chronic,Observe,Standard,Check again,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Unstable,Maintenance,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Acute,Standard,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Heart Rate,Normal,Bradycardia,Regular,Standard,Routine care,Routine,Standard care - Follow routine protocol
Pain Level,Normal,Stable,Maintenance,Routine,Follow up,Routine,Standard care - Follow routine protocol
Blood Pressure,Normal,Hypertension,Baseline,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Blood Glucose,Moderate,Acute,Regular,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Normal,Unstable,Maintenance,Standard,Maintenance,Routine,Standard care - Follow routine protocol
AVPU Score,Moderate,Chronic,Regular,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Critical,Acute,Maintenance,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,Critical,Hyperthermia,Maintenance,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
